synopsis,rating,genre,director,writer,theater_date,dvd_date,currency,box_office,runtime,studio
"Meet the kid who made ""wimpy"" cool in a family comedy based on the best-selling illustrated novel Diary of a Wimpy Kid by Jeff Kinney, the first in a series that has thus far sold 24 million copies. ""Diary of a Wimpy Kid"" chronicles the adventures of wise-cracking pre-teen Greg Heffley, who must somehow survive the scariest time of anyone's life: middle school.",PG,Comedy|Kids and Family,Thor Freudenthal,Jackie Filgo|Jeff Filgo|Gabe Sachs|Jeff Judah,2010-03-19,"Aug 3, 2010",$,"64,001,297",93 minutes,20th Century Fox
"SHADOW tells the strangely ethereal story of David (Jake Muxworthy), a young soldier returning from a tour of duty in Iraq, who decides to go on a mountain biking adventure in Europe to forget his battle-weary past. In the woods, he meets pretty young stranger Angeline (Karina Testa) and they team up to explore the picturesque surrounding area. Soon they learn of a mystifying local myth... a legend that will force David to face more shattering fears than he did during wartime. To meet the bloodthirsty butcher Mortis (Nuot Arquint) and to discover that reality is sicker than any nightmare. -- (C) IFC Film",NR,Art House and International|Horror,Federico Zampaglione,,2011-01-29,"Apr 26, 2011",,,77 minutes,IFC Films
"From the producers of Little Miss Sunshine - When an unusual classified ad inspires three cynical Seattle magazine employees to look for the story behind it, they discover a mysterious eccentric named Kenneth, a likable but paranoid supermarket clerk, who believes he's solved the riddle of time travel and intends to depart again soon. Together, they embark on a hilarious, smart, and unexpectedly heartfelt journey that reveals how far believing can take you. -- (C) Official Site",R,Comedy|Drama,Colin Trevorrow,Derek Connolly,2012-06-08,"Oct 30, 2012",$,"4,007,792",86 minutes,Film District
"Award-winning filmmaker Rakeysh Omprakash Mehra (writer/director of the BAFTA-nominated Rang De Basanti starring Aamir Khan) returns with his newest film BHAAG MILKHA BHAAG telling the true story of the ""Flying Sikh"" - world champion runner and Olympian Milkha Singh. Played by acclaimed actor Farhan Akhtar, Singh overcame the bloody massacre of his family, civil war during the India-Pakistan partition, and homelessness to become one of India's most iconic athletes. (c) Reliance Entertainment",NR,Drama,Rakeysh Omprakash Mehra|Rakeysh Omprakesh Mehra,Prasoon Joshi,2013-07-12,"Jan 12, 2015",$,"1,626,289",188 minutes,Reliance Entertainment
"100 STREETS, a powerful ensemble drama, follows three contrasting and interwoven stories as they play out in one square mile of modern day London. A former rugby player, Max (Idris Elba), struggles to find a life off the field while fighting to save his marriage to former actress Emily (Gemma Arterton). Kingsley (Franz Drameh of CW's LEGENDS OF TOMORROW) is a small time drug dealer desperately seeking a way off the street. While completing his community service for a misdemeanor, Kinsley meets Terence (Ken Stott), a local thespian, who gives him the push he needs out of his dead end life and into a very different, creative world. George (Charlie Creed-Miles), a cab driver, and his wife Kathy (Kierston Wareing) dream of having kids, but a devastating road accident puts their hopes on hold even testing their otherwise strong marriage. Anybody can make a wrong turn, but it's the journey that allows us to find the right path.",NR,Drama,,Leon Butler,2017-01-13,"Mar 7, 2017",,,93 minutes,
"DreamWorks Pictures' ""The Light Between Oceans"" is a heart-breaking drama about fate, love, moral dilemmas and the lengths to which one couple will go to see their dreams realized. Starring Academy Award (R) and Golden Globe (R) nominee Michael Fassbender, Oscar (R) winner Alicia Vikander, Academy Award and Golden Globe winner Rachel Weisz, Bryan Brown and Jack Thompson, the film is written for the screen and directed by Derek Cianfrance based on the acclaimed novel by M.L. Stedman. The producers are Academy Award nominee David Heyman, p.g.a. and Jeffrey Clifford, p.g.a. with Tom Karnowski, Rosie Alison, Jeff Skoll and Jonathan King serving as executive producers. In the years following World War I, Tom Sherbourne (Michael Fassbender), a young veteran still numb from his years in combat, takes a job as lighthouse keeper on Janus Rock, a remote island off the coast of Western Australia. As the island's sole inhabitant, he finds comfort in the monotony of the chores and the solitude of his surroundings. When he meets the daughter of the school's headmaster, Isabel Graysmark (Alicia Vikander), in the local town of Partageuse on the mainland, Tom is immediately captivated by her beauty, wit and passion, and they are soon married and living on the island. As their love flourishes, he begins to feel again, their happiness marred only by their inability to start a family, so when a rowboat with a dead man and infant girl mysteriously washes ashore, Isabel believes their prayers may have finally been answered. As a man of principle, Tom is torn between reporting the lost child and pleasing the woman he loves, and against his better judgment he agrees to let Isabel raise the child as their own, making a choice with devastating consequences. DreamWorks Pictures' ""The Light Between Oceans"" opens in U.S. theaters on September 2nd.",PG-13,Drama|Romance,Derek Cianfrance,Derek Cianfrance,2016-09-02,"Jan 24, 2017",$,"12,533,911",132 minutes,
"BYZANTIUM is director Neil Jordan's (Interview with the Vampire, The Crying Game) sexy and stylish fantasy thriller about mother and daughter vampires dealing with the pitfalls of eternal life. Two mysterious women seek refuge in a run-down coastal resort. Clara (Gemma Arterton) meets lonely Noel (Daniel Mays), who provides shelter in his deserted guesthouse, Byzantium. Schoolgirl Eleanor (Saoirse Ronan, Hanna, Atonement) befriends Frank (Caleb Landry Jones) and tells him their lethal secret: They were born 200 years ago and survive on human blood. As knowledge of their secret spreads, their past catches up on them with deathly consequence. Also starring Sam Riley and Jonny Lee Miller. (c) IFC",R,Art House and International|Drama|Horror|Mystery and Suspense|Science Fiction and Fantasy,Neil Jordan,Moira Buffini,2013-06-28,"Oct 29, 2013",$,"84,293",118 minutes,IFC Films
"In this adaptation of the novel ""The Price of Salt"" by Patricia Highsmith, Therese (Rooney Mara), a young department-store clerk in 1950s Manhattan, meets Carol (Cate Blanchett), a beautiful older woman stuck in a depressing marriage of convenience. As their bond deepens and they become romantically involved, Carol finds the strength to leave her husband (Kyle Chandler). Unfortunately, her spouse starts to raise questions about her fitness as a mother when he realizes that Carol's relationships with her best friend Abby (Sarah Paulson) and Therese are more than just friendships. Directed by Todd Haynes.",R,Drama|Romance,Todd Haynes,Phyllis Nagy,2015-11-20,"Mar 15, 2016",$,"8,518,148",118 minutes,The Weinstein Company
"Natalie Portman stars in this western concerning a woman who has to defend her home against a group of outlaws. Gavin O'Connor handles directing duties, with Ewan McGregor and Joel Edgerton co-starring.",R,Action and Adventure|Drama|Western,,,2016-01-29,"Apr 26, 2016",$,"976,847",97 minutes,
"Seth MacFarlane directs, produces, co-writes and plays the role of the cowardly sheep farmer Albert in A Million Ways to Die in the West. After Albert backs out of a gunfight, his fickle girlfriend leaves him for another man. When a mysterious and beautiful woman rides into town, she helps him find his courage and they begin to fall in love. But when her husband, a notorious outlaw, arrives seeking revenge, the farmer must put his newfound courage to the test. Starring alongside MacFarlane are Oscar (R) winner Charlize Theron, Liam Neeson, Amanda Seyfried, Giovanni Ribisi, Sarah Silverman and Neil Patrick Harris. MacFarlane reunites many of the filmmakers behind Universal and MRC's hit film Ted including Scott Stuber (Bluegrass Films) and Jason Clark who produce, and Wellesley Wild and Alec Sulkin who co-wrote the script. (c)Universal",R,Comedy|Western,Seth MacFarlane,Seth MacFarlane|Alec Sulkin|Wellesley Wild,2014-05-30,"Oct 7, 2014",$,"37,331,031",116 minutes,Universal Pictures
"This pure-pulp thrill ride jumps between past and present as it pieces together the puzzle of a shocking crime. It's 1978 and a bank robbery gone wrong leaves Vivian (The Last Exorcism's Ashley Bell) the hostage of two criminals on the run. But things go from bad to off-the-rails berserk when she and her captors wind up on the sun-baked desert outpost of a deranged ex-military sniper (Pat Healy), who ensnares them in his deadly game of cat and mouse. Rising horror auteur Mickey Keating (Pod, Darling) directs this gritty, grisly homage to the glory days of grindhouse cinema.",NR,Mystery and Suspense,Mickey Keating,Mickey Keating,2016-07-01,"Jul 1, 2016",,,81 minutes,
"An all new feature film from the twisted minds of cult comedy heroes Tim Heidecker and Eric Wareheim (Tim and Eric Awesome Show, Great Job)",R,Comedy,Tim Heidecker|Eric Wareheim,Doug Lussenhop|Tim Heidecker|Jonathan Krisel|Eric Wareheim,2012-03-02,"May 8, 2012",$,"145,778",94 minutes,Magnolia Pictures
"Liz Gilbert had everything a modern woman is supposed to dream of having -- a husband, a house, a successful career -- yet like so many others, she found herself lost, confused, and searching for what she really wanted in life. Newly divorced and at a crossroads, Gilbert steps out of her comfort zone, risking everything to change her life, embarking on a journey around the world that becomes a quest for self-discovery. In her travels, she discovers the true pleasure of nourishment by eating in Italy; the power of prayer in India, and, finally and unexpectedly, the inner peace and balance of true love in Bali.",PG-13,Drama,Ryan Murphy,Ryan Murphy|Jennifer Salt,2010-08-13,"Nov 23, 2010",$,"80,574,010",133 minutes,Sony Pictures
"Friends with Kids is a daring and poignant ensemble comedy about a close-knit circle of friends at that moment in life when children arrive and everything changes. The last two singles in the group observe the effect that kids have had on their friends' relationships and wonder if there's a better way. They decide to have a kid together - and date other people. There are big laughs and unexpected emotional truths as this unconventional 'experiment' leads everyone in the group to question the nature of friendship, family and, finally, true love. -- (C) Official Site",R,Comedy|Drama,Jennifer Westfeldt,Jennifer Westfeldt,2012-03-09,"Jul 17, 2012",$,"5,600,000",107 minutes,Roadside Attractions
"Set against the backdrop of 1970's Texas Hill Country, AIN'T THEM BODIES SAINTS is a romantic American story that follows three characters on various sides of the law - outlaw Bob Muldoon (Casey Affleck), his wife Ruth Guthrie (Rooney Mara), and a local sheriff named Patrick Wheeler (Ben Foster), who gets caught in their crosshairs. The film, which is the second feature from writer-director David Lowery, was developed at the Sundance Institute's Writing and Producing Labs and also stars Nate Parker and Keith Carradine. The film received the U.S. Dramatic Cinematography Award at the 2013 Sundance Film Festival. (c) IFC",R,Drama,David Lowery,David Lowery,2013-08-16,"Dec 17, 2013",$,"200,000",105 minutes,IFC Films
"Unlimited funds have allowed Diana (McCarthy) to live it up on the outskirts of Miami, where the queen of retail buys whatever strikes her fancy. There's only one glitch: The ID she's using to finance these sprees reads ""Sandy Bigelow Patterson""....and it belongs to an accounts rep (Bateman) who lives halfway across the U.S. With only one week to hunt down the con artist before his world implodes, the real Sandy Bigelow Patterson heads south to confront the woman with an all-access pass to his life. And as he attempts to bribe, coax and wrangle her the 2,000 miles to Denver, one easy target will discover just how tough it is to get your name back. -- (C) Official Site",R,Comedy,Seth Gordon,Craig Mazin,2013-02-07,"Jun 4, 2013",$,"134,455,175",111 minutes,Universal Pictures
"When her heart is stolen by a seductive stranger, a young woman is swept away to a house atop a mountain of blood-red clay: a place",R,Horror,Guillermo del Toro,Guillermo del Toro|Matthew Robbins|Lucinda Coxon,2015-10-16,"Feb 9, 2016",$,"25,957,696",119 minutes,Universal Pictures
"Unique improvisational techniques are employed to construct an intimate portrait of people's lives as a married couple that has remained happy over the years is surrounded, during the course of one year, by friends, colleagues and family members, all who suffer some degree of unhappiness.",PG-13,Comedy|Drama,Mike Leigh,Mike Leigh,2010-12-29,"Jun 7, 2011",$,"3,200,000",129 minutes,Sony Classics
"In 1937, Nanking stands at the forefront of a war between China and Japan. As the invading Japanese Imperial Army overruns China's capital city, desperate civilians seek refuge behind the nominally protective walls of a western cathedral. Here, John Miller (Christian Bale), an American trapped amidst the chaos of battle and the ensuing occupation takes shelter, joined by a group of innocent schoolgirls and thirteen courtesans, equally determined to escape the horrors taking place outside the church walls. Struggling to survive the violence and persecution wrought by the Japanese army, it is an act of heroism which eventually leads the seemingly disparate group to fight back, risking their lives for the sake of everyone. -- (C) Wrekin Hill",R,Art House and International|Drama|Special Interest,Yimou Zhang,Yan Geling,2011-12-21,"Jul 10, 2012",$,"308,164",142 minutes,Wrekin Hill Entertainment
"""Hereafter"" tells the story of three people who are touched by death in different ways. George is a blue-collar American who has a special connection to the afterlife. On the other side of the world, Marie, a French journalist, has a near-death experience that shakes her reality. And when Marcus, a London schoolboy, loses the person closest to him, he desperately needs answers. Each on a path in search of the truth, their lives will intersect, forever changed by what they believe might -- or must -- exist in the hereafter.",PG-13,Drama|Mystery and Suspense,Clint Eastwood,Peter Morgan,2010-10-22,"Mar 15, 2011",$,"32,741,596",126 minutes,Warner Bros. Pictures
"When five struggling single moms put aside their differences to form a support group, they find inspiration and laughter in their new sisterhood, and help each other overcome the obstacles that stand in their way. (c) Lionsgate",PG-13,Comedy|Drama,Tyler Perry,Tyler Perry,2014-03-14,"Jul 22, 2014",$,"15,986,272",111 minutes,Lionsgate Films
"Robert (character actor David Thornton) is a grumpy burned-out musician, trying to survive in Manhattan. When his fed-up friend Rose (Thornton's real-life wife Cyndi Lauper in a small role) throws him out of her apartment, the destitute Robert reluctantly makes a deal with the young Serbian, Branko (Branislav Trifunovic), who's moving his stuff out. For a hefty fee, Robert agrees to fly to Belgrade and marry Branko's girlfriend, Ivana (Jelena Mrdja), so that she can move to New York. Branko gives him a down payment, and Robert goes to Belgrade and moves in with Branko's mother, Olga (Mirjana Karanovic of Emir Kusturica's When Father was Away on Business and Underground). Robert is predictably miserable there, unimpressed with the city's culture and unresponsive to Olga's kindness. Back in New York, Branko faces his own struggles. While he's desperately trying to raise the money to pay Robert, his van is stolen. He begs Robert to stay in Belgrade for another week until he can send the money. Devoid of options, Robert agrees, and, despite himself, slowly begins to enjoy his stay. Here and There marks the narrative feature debut of writer-director Darko Lungulov. The film had its International Premiere at the 2009 Tribeca Film Festival, where it won the award for Best New York Narrative.",NR,Art House and International|Comedy|Drama,Darko Lungulov,Darko Lungulov,2010-05-14,"Jul 13, 2010",,,90 minutes,Independant Pictures
"Crossing new lines and breaking old barriers, A HAUNTED HOUSE 2 is the sequel to the hilarious box-office hit starring Marlon Wayans as Malcolm who, after exorcising the demons of his ex, is starting fresh with his new girlfriend and her two children. After moving into their dream home, Malcolm is once again plagued by bizarre paranormal events. With spine-tingling tension and hilarious punch-lines A HAUNTED HOUSE 2 is inspired by the latest supernatural horror movie franchises and shows that this time... it's not just the house that's haunted",R,Comedy,Michael Tiddes,Marlon Wayans,2014-04-18,"Aug 12, 2014",$,"13,710,572",87 minutes,Open Road Films
They broke everything but her spirit. They took everything but her dream. This is the incredible true story of a fearless Irish heroine driven by her daring vision to escape the slums of Ireland and risk everything on the streets of Vietnam.,PG-13,Drama,Stephen Bradley,Stephen Bradley,2015-05-08,"Mar 1, 2016",$,"347,321",100 minutes,Aspiration Media
A powerful industrialist attempts to perform seven impossible tasks in order to prevent the apocalypse. Patrick Muldoon and Bo Svenson star in this modern re-imagining of the legend of Sinbad.,PG-13,Action and Adventure|Science Fiction and Fantasy,Adam Silver|Ben Hayflick,Ben Hayflick|Adam Silver,2010-05-25,"May 25, 2010",,,94 minutes,
"Everyone deserves a great love story. But for seventeen-year old Simon Spier it's a little more complicated: he's yet to tell his family or friends he's gay and he doesn't actually know the identity of the anonymous classmate he's fallen for online. Resolving both issues proves hilarious, terrifying and life-changing. Directed by Greg Berlanti (Riverdale, The Flash, Supergirl), written by Isaac Aptaker &amp; Elizabeth Berger (This is Us), and based on Becky Albertalli's acclaimed novel, LOVE, SIMON is a funny and heartfelt coming-of-age story about the thrilling ride of finding yourself and falling in love.",PG-13,Drama,Greg Berlanti,Isaac Aptaker|Elizabeth Berger,2018-03-16,"Jun 12, 2018",,,109 minutes,20th Century Fox
"After her ex-husband Carlos (Billy Bob Thornton) shoots Celeste (Eva Longoria) three times in the gut, it's time to play dirty. In the fight for her godson, Rob, she hires three outlawed and redneck brothers to bring him back to her. But nothing can be that simple in the South. What begins as a small rescue mission rises to a Southern battle royale. This odd team must shoot their way through gorgeous female assassins, Native American hunters, federal agents, and a whole lot of metal coming after them, while protecting Celeste's innocent child. -- (C) Phase 4",R,Comedy,Barry Battles,Barry Battles|Griffin Hood,2013-01-11,"Apr 2, 2013",,,98 minutes,Phase 4 Films
"When teens mysteriously develop powerful new abilities, they are declared a threat by the government and detained. Sixteen-year-old Ruby, one of the most powerful young people anyone has encountered, escapes her camp and joins a group of runaway teens seeking safe haven. Soon this newfound family realizes that, in a world in which the adults in power have betrayed them, running is not enough and they must wage a resistance, using their collective power to take back control of their future.",PG-13,Mystery and Suspense|Science Fiction and Fantasy,Jennifer Yuh Nelson,Chad Hodge,2018-08-03,"Oct 30, 2018",,,105 minutes,20th Century Fox
"Deep in the San Fernando Valley, amidst rows of dilapidated warehouses, was rock n' roll's best kept secret: Sound City. America's greatest unsung recording studio housed a one-of-a-kind console, and as its legend grew, seminal bands and artists such as Fleetwood Mac, Neil Young, Rick Springfield, Tom Petty, Metallica and Nirvana all came out to put magic to tape. Directed by Dave Grohl (Nirvana, Foo Fighters) and featuring interviews and performances from the iconic musicians who recorded some of rock's greatest albums at the studio, Sound City doesn't just tell the story of this real-life rock 'n' roll shrine, it celebrates the human element of music as Grohl gathers some of rock's biggest artists to collaborate on a new album. Using Sound City's legendary analog console, together these artists continue to create musical miracles in a digital world. (c) Variance",NR,Documentary|Musical and Performing Arts,Dave Grohl,Mark Monroe,2013-02-01,"Apr 7, 2014",$,"419,361",108 minutes,Variance Films
